year,month,day,high,low,open,volumefrom,volumeto,close
2018,December,11,3545.37,3380.48,3401.02,74415.95,257293632.74,3485.59
2018,December,12,3493.76,3272.81,3485.59,84592.04,286236674.73,3305.11
2018,December,13,3333.24,3180.97,3305.11,89133.43,290985461.02,3235.48
2018,December,14,3271.76,3169.53,3235.48,51317.37,165378769.6,3232.51
2018,December,15,3319.83,3227.4,3232.51,45102.51,148182655.41,3255.37
2018,December,16,3639.65,3239.06,3255.37,119831.24,412454521.38,3548.19
2018,December,17,3727.99,3481.46,3548.19,91609.53,327807644.75,3715.85
2018,December,18,3969.7,3693.57,3715.85,163016.15,620695447.39,3736.54
2018,December,19,4225.52,3712.82,3736.54,180025.9,724855205.51,4137.66
2018,December,20,4247.71,3831.2,4137.66,128508.13,516656937.13,3898.81
2018,December,21,4060.34,3849.23,3898.81,63672.55,250085915.72,4045.24
2018,December,22,4117.65,3972.39,4045.24,58294.45,235997621.23,4007.63
2018,December,23,4303.37,4006.6,4007.63,109869.44,459290147.24,4081.95
2018,December,24,4094.61,3734.85,4081.95,95683.55,367200910.64,3834.73
2018,December,25,3923.93,3746.86,3834.73,68965.06,263439573.84,3848.78
2018,December,26,3888.92,3622.39,3848.78,81652.77,305729129.14,3646.09
2018,December,27,4007.71,3628.43,3646.09,92882.41,353705007.17,3947.86
2018,December,28,4004.14,3774.38,3947.86,54702.16,214891355.42,3797.06
2018,December,29,3925.18,3760.8,3797.06,49797.04,191958416.81,3896.21
2018,December,30,3904.28,3701.48,3896.21,54221.49,206190463.74,3747.39
2018,December,31,3938.75,3696.94,3747.39,45104.29,170598307.96,3880.15
2019,January,1,3989.59,3826.29,3880.15,54034.73,210854603.84,3961.01
2019,January,2,3965.52,3778.76,3961.01,45585.19,176488072.06,3835.86
2019,January,3,3901.65,3783.88,3835.86,44398.9,170507611.15,3874.06
2019,January,4,3926.92,3841.13,3874.06,35766.65,139438510.18,3855.39
2019,January,5,4145.16,3829.09,3855.39,58878.99,236298043.75,4102.85
2019,January,6,4132.62,4001.35,4102.85,51541.23,209289368.14,4050.4
2019,January,7,4156.16,3990.34,4050.4,65973.5,268091045.44,4040.75
2019,January,8,4092.91,4013,4040.75,55130.13,223639028.92,4048.34
2019,January,9,4085.09,3631.07,4048.34,108277.01,412522198.13,3668.15
2019,January,10,3729.69,3616.41,3668.15,63070.18,231465488.1,3669.2
2019,January,11,3692.12,3611.2,3669.2,28343.28,103912541.38,3664.38
2019,January,12,3675.2,3528.24,3664.38,45682.73,164125048.97,3551.24
2019,January,13,3748.88,3544.53,3551.24,56099.99,204793029.92,3703.9
2019,January,14,3724.3,3590.49,3703.9,54154.65,198582447.53,3621.24
2019,January,15,3704.37,3611.38,3621.24,53843.55,196211595.54,3643.99
2019,January,16,3695.28,3586.92,3643.99,46181.32,168287506.1,3685.3
2019,January,17,3685.39,3620.44,3685.3,32418.99,118317804.97,3648.05
2019,January,18,3799.62,3643.01,3648.05,38341.35,143238228.4,3729.78
2019,January,19,3754.65,3529.25,3729.78,49198.37,177628515.93,3567.73
2019,January,20,3599.83,3535.19,3567.73,36101.4,129000924.6,3571.92
2019,January,21,3635.69,3473.77,3571.92,53586.91,191355241.84,3602.04
2019,January,22,3631.15,3543.96,3602.04,37910.4,135864247.56,3572.05
2019,January,23,3616.33,3546.5,3572.05,31630.57,113155246.95,3598.52
2019,January,24,3607.43,3539.41,3598.52,32679.69,116674680.78,3582.89
2019,January,25,3676.4,3578.62,3582.89,29201.1,105927045.55,3596.5
2019,January,26,3605.99,3511.29,3596.5,26261.48,93766117.67,3565.08
2019,January,27,3567.56,3402.56,3565.08,59700.11,206309738.62,3453.42
2019,January,28,3463.2,3369.19,3453.42,46304.1,158106687,3418.25
2019,January,29,3488.91,3395.94,3418.25,42399.63,146422486.1,3467.21
2019,January,30,3499.78,3422.83,3467.21,37365.7,128773893.15,3434.13
2019,January,31,3478.55,3398.96,3434.13,41976.43,144476056.44,3461.63
2019,February,1,3519.14,3441.21,3461.63,27103.48,94144187.11,3508.68
2019,February,2,3514.43,3424.42,3508.68,23044.88,79591219.11,3449.62
2019,February,3,3470.8,3429.21,3449.62,23959.61,82280894.52,3431.24
2019,February,4,3447.88,3415.67,3431.24,24459.49,84042727.18,3447.66
2019,February,5,3459.33,3362.24,3447.66,44281.79,150408587.85,3394.89
2019,February,6,3406.54,3369.1,3394.89,28811.35,97390901.92,3375.33
2019,February,7,3735.1,3363.32,3375.33,89444.22,317023029.42,3660.03
2019,February,8,3673.71,3616.11,3660.03,25880.75,94200588.34,3652.26
2019,February,9,3689.32,3611.46,3652.26,30046.26,109365095.98,3685.14
2019,February,10,3688.59,3608.18,3685.14,40461.58,146354074.39,3611.34
2019,February,11,3648.67,3574.22,3611.34,45717.05,164816438.53,3617.41
2019,February,12,3655.89,3590.01,3617.41,40664.15,146822348.57,3605.87
2019,February,13,3619.7,3567.39,3605.87,32779.35,117804856.32,3588.72
2019,February,14,3640.65,3575.95,3588.72,36251.38,130398989.33,3593.49
2019,February,15,3639.75,3592.04,3593.49,24003.59,86973822.79,3617.24
2019,February,16,3706.17,3608.18,3617.24,36849.32,134218331.16,3670.92
2019,February,17,3952.44,3661.42,3670.92,98728.99,376203280.43,3912.57
2019,February,18,4010.91,3882.52,3912.57,74127.62,292137057.43,3924.24
2019,February,19,3992.31,3898.91,3924.24,53048.95,209282292.49,3974.05
2019,February,20,4026.54,3900.28,3974.05,47433.87,187314178.85,3937.04
2019,February,21,3996.15,3917.66,3937.04,43006.55,170405341.81,3983.53
2019,February,22,4192.39,3948.48,3983.53,57002.5,231174632.28,4149.09
2019,February,23,4221.62,3755.38,4149.09,80391.72,319071544.94,3771.62
2019,February,24,3885.06,3771.53,3771.62,48406.42,185036583.31,3845.51
2019,February,25,3852.66,3791.9,3845.51,33253.08,126868886.89,3817.88
2019,February,26,3851.84,3699.53,3817.88,46011.1,175069054.72,3830.72
2019,February,27,3909.86,3798,3830.72,44353.45,170646670.66,3823.37
2019,February,28,3866.12,3822.67,3823.37,26522.34,101774924.71,3831.48
2019,March,1,3846.38,3790.74,3831.48,19283.71,73894412.97,3842.94
2019,March,2,3853.28,3788.04,3842.94,16769.86,64065044.79,3812.31
2019,March,3,3831.01,3705.14,3812.31,39278.22,147245676.28,3731.28
2019,March,4,3893.52,3720.49,3731.28,43262.3,165062256.27,3874.18
2019,March,5,3916.29,3839.39,3874.18,33536.95,129520549.49,3874.98
2019,March,6,3911.76,3853.2,3874.98,37619.38,146201726.67,3882.61
2019,March,7,3932.02,3804.98,3882.61,39428.25,153405087.61,3868.02
2019,March,8,3975.25,3860.66,3868.02,27600.01,108370246.04,3947.74
2019,March,9,3948.21,3897.82,3947.74,17404.16,68252920.53,3929.84
2019,March,10,3941.99,3849.45,3929.84,32708.55,126998648.6,3874.89
2019,March,11,3904.7,3827.23,3874.89,33655.37,130291591.54,3888.57
2019,March,12,3898.25,3853.06,3888.57,27922.69,108286926.77,3878.44
2019,March,13,3922.21,3825.03,3878.44,34554.38,133931876.12,3881.44
2019,March,14,3935.1,3876.17,3881.44,32133.02,125588541.02,3927.08
2019,March,15,4069.11,3924.98,3927.08,41319.81,166216280.52,4027.01
2019,March,16,4030.38,3970.97,4027.01,17033.6,68146133.16,3998
2019,March,17,4038.99,3964.31,3998,27416.92,109428478.54,3988.85
2019,March,18,4032.04,3972.47,3988.85,29686.2,118919147.36,4024.14
2019,March,19,4064.95,3995.49,4024.14,36862.09,148490744.9,4056.75
2019,March,20,4082.29,3953.53,4056.75,44251.52,178077036.22,3996.93
2019,March,21,4018.21,3984,3996.93,22671.75,90726555.79,4000.84
2019,March,22,4019.36,3982.47,4000.84,18486.22,74094017.72,4007.21
2019,March,23,4010.3,3970.35,4007.21,16111.98,64375076.75,3994.11
2019,March,24,4005.29,3887.68,3994.11,34191.84,136398998.18,3924.55
2019,March,25,3943.2,3902.52,3924.55,23873.14,93805733.55,3942.22
2019,March,26,4054.32,3932.79,3942.22,37132.4,149005782.26,4045.98
2019,March,27,4046.44,4014.69,4045.98,25343.13,102296341.19,4036.45
2019,March,28,4122.89,4031.22,4036.45,41843.31,170915132.77,4111.38
2019,March,29,4146.88,4066.87,4111.38,24906.26,102400533.82,4118.13
2019,March,30,4129.43,4098.79,4118.13,13792.73,56727425.19,4112.69
2019,March,31,4164.33,4082.2,4112.69,36921.55,152826759.02,4151.32
2019,April,1,5104.42,4147.7,4151.32,172473.31,814748125.73,4906.93
2019,April,2,5335.7,4831.59,4906.93,159843.43,809158339.99,4976.59
2019,April,3,5071.98,4799.77,4976.59,74544.88,370109007.61,4913.36
2019,April,4,5074.13,4897.61,4913.36,56130.82,280722247.3,5047.23
2019,April,5,5240.19,4938,5047.23,54180.91,275839573.8,5057.25
2019,April,6,5266.04,5044.28,5057.25,47200.43,243329883.48,5201.16
2019,April,7,5347.88,5141.23,5201.16,69803.56,366577921.18,5294.09
2019,April,8,5294.09,5159.13,5294.09,48552.25,253577595.39,5201.3
2019,April,9,5460.94,5178.61,5201.3,65813.81,349643837.46,5318.6
2019,April,10,5343.66,4987.65,5318.6,69622.86,356811374.12,5048.56
2019,April,11,5118.61,4927.62,5048.56,43762.94,220667543.59,5081.5
2019,April,12,5128.96,5056.19,5081.5,23342.24,118956124.9,5080.66
2019,April,13,5186.82,5031.2,5080.66,21193.03,108148233.81,5165.59
2019,April,14,5195.31,4969.31,5165.59,40402.46,205867031.18,5037.27
2019,April,15,5232.03,5029.16,5037.27,40370,207311534.31,5212.81
2019,April,16,5270.76,5190.81,5212.81,37225.68,194699629.15,5236.26
2019,April,17,5317.78,5232.99,5236.26,35511.12,187312150.44,5289.75
2019,April,18,5353.01,5212.18,5289.75,30109.97,158699049.55,5295.53
2019,April,19,5366.6,5274.45,5295.53,23214.49,123577001.56,5326.18
2019,April,20,5348.59,5232.77,5326.18,25466.81,134681237.4,5305.74
2019,April,21,5444.76,5265.73,5305.74,45346.65,242498187.66,5394.67
2019,April,22,5626.83,5371.31,5394.67,66448.85,368556751.66,5539.1
2019,April,23,5633,5390.98,5539.1,61651.16,339093001.24,5454.58
2019,April,24,5521.61,5031.69,5454.58,70755.72,374798664.87,5162.67
2019,April,25,5361.94,5104.18,5162.67,70191.21,366773360.18,5234.09
2019,April,26,5282.97,5192.45,5234.09,21692.98,113430273.96,5229.48
2019,April,27,5313.7,5218.42,5233.47,25294.87,133564683.52,5272.45
2019,April,28,5299.51,5162.81,5272.45,31947.44,167206787.27,5237.96
2019,April,29,5372.23,5224.64,5237.96,32567.46,172540196.26,5350.64
2019,April,30,5417.17,5346.7,5350.64,27410.57,147345369.73,5389.54
2019,May,1,5531.15,5387.29,5389.54,35089.37,192256639.91,5500.72
2019,May,2,5891.9,5484.78,5500.72,75434.86,432335283.61,5753.38
2019,May,3,5901.36,5596.15,5753.38,45628.34,263390273.68,5840.08
2019,May,4,5849.5,5709.74,5840.08,25481.48,147662500.76,5794.14
2019,May,5,5823.67,5644.15,5794.14,34979.71,200316185.51,5748.17
2019,May,6,6031.54,5748.17,5748.17,59556.89,353043890.95,5819.57
2019,May,7,6032.25,5753.08,5819.57,40967.62,241917027.36,5998.71
2019,May,8,6194.91,5988.65,5998.71,51005.27,310336580.16,6171.96
2019,May,9,6444.57,6133.21,6171.96,68160.13,430403405.14,6358.29
2019,May,10,7394.94,6357.02,6358.29,135248.42,933141315.95,7191.36
2019,May,11,7541.61,6793.21,7191.36,142892.25,1023203366.46,6977.63
2019,May,12,8127.75,6873.42,6977.63,149082.57,1140302646.6,7806.36
2019,May,13,8297.02,7631.34,7806.36,122383.06,976094121.29,7980.13
2019,May,14,8263.29,7849.92,7980.13,86162.62,694202804.31,8183.83
2019,May,15,8352.25,7679.05,8183.83,95341.68,762104107.69,7874.11
2019,May,16,7930.98,6668.67,7874.11,141482.93,1023961962.83,7371.96
2019,May,17,7491.67,7213.72,7371.96,41327.89,303317486.98,7266.08
2019,May,18,8281.66,7257.26,7266.08,91218.12,723011166.2,8193.14
2019,May,19,8193.14,7591.85,8193.14,80672.83,637617163.27,7998.29
2019,May,20,8102.32,7807.77,7998.29,45005.01,357803946.85,7947.93
2019,May,21,8033.76,7533.66,7947.93,54216.74,424501866.33,7626.89
2019,May,22,7971.26,7478.74,7626.89,50121.07,386766321.19,7876.5
2019,May,23,8165.45,7801.57,7876.5,51604.15,413162746.86,7996.4
2019,May,24,8140.82,7948.68,7996.4,22294.65,179206342.03,8059.13
2019,May,25,8779,7894.53,8059.13,57648.95,483663699.62,8726.23
2019,May,26,8931.53,8668.46,8726.23,57692.17,507164714.76,8785.17
2019,May,27,8818.71,8562.2,8785.17,41445.13,360752199.95,8718.85
2019,May,28,8760.48,8444.1,8718.85,44056.71,380343928.72,8664.56
2019,May,29,9065.89,8027.21,8664.56,95189.06,815525590.67,8276.25
2019,May,30,8570.78,8116,8276.25,60143.23,502056527.56,8550.67
2019,May,31,8619.21,8459.65,8550.67,26884.15,229736992.43,8555.87
2019,June,1,8819.9,8547.48,8555.87,25506.14,221708083.06,8737.91
2019,June,2,8740.24,8073.18,8737.91,63486.15,534972187.72,8114.49
2019,June,3,8114.49,7463.94,8114.49,103552.9,809220381.24,7677.47
2019,June,4,7917.14,7591.88,7677.47,49771.65,387021977.02,7791.29
2019,June,5,7872.1,7467.52,7791.29,44397.47,342084400.02,7807.36
2019,June,6,8127.63,7767.37,7807.36,51105.14,407241297.23,8002.63
2019,June,7,8058.91,7796.46,8002.63,23469.94,186055499.51,7933.78
2019,June,8,7964.75,7535.9,7933.78,30301.73,234551796.21,7643.44
2019,June,9,8061.5,7533.53,7643.44,43154.98,339520552.04,8021
2019,June,10,8049.78,7724.58,8021,35850.45,282632009.38,7917.32
2019,June,11,8250,7834.57,7917.32,49460.34,399065678.38,8174.14
2019,June,12,8326.2,8053.65,8174.14,38536.25,315594036.87,8235.57
2019,June,13,8724.42,8180.39,8235.57,50383.98,424131990.84,8693.96
2019,June,14,8905.14,8621.48,8693.96,38140.15,333656492.38,8853.56
2019,June,15,9372.89,8800.96,8853.56,84289.2,767025702.52,8979.18
2019,June,16,9468.85,8976.99,8979.18,65486.04,606269265.79,9336.01
2019,June,17,9357.22,8941.83,9336.01,51829.13,473016555.83,9081.71
2019,June,18,9313.18,9045.47,9081.71,32012.68,293070485.25,9280.54
2019,June,19,9600.28,9219.81,9280.54,45144.43,424436854.57,9536.85
2019,June,20,10230.86,9536.85,9536.85,77828.7,765543626.6,10218.87
2019,June,21,11207.97,10086.32,10218.87,115793.98,1240328392.49,10689.54
2019,June,22,11285.51,10513.81,10689.54,57082.02,619160985.99,10855.99
2019,June,23,11100.92,10555.71,10855.99,52118.36,565444720.43,11035.74
2019,June,24,11778.22,10992.37,11035.74,84123.73,953962631.15,11740.34
2019,June,25,13826.76,11679.1,11740.34,211449.88,2685872365.1,12913.28
2019,June,26,13314.05,10335.34,12913.28,202428.68,2345027203.81,11154.09
2019,June,27,12433,10772.75,11154.09,120700.97,1408438810.31,12355.06
2019,June,28,12362.9,11352.27,12355.06,81875.16,968516834.6,11884.1
2019,June,29,12200.02,10677.83,11884.1,80893.36,917158052.37,10769.05
2019,June,30,11207,10006.43,10769.05,115739.97,1225129699.57,10591.87
2019,July,1,10927.6,9678.1,10591.87,120994.95,1239524970.43,10844.13
2019,July,2,12009.59,10841.91,10844.13,115565.16,1313585829.89,11981.61
2019,July,3,12055.11,11067.68,11981.61,71141.03,831236841.56,11156.52
2019,July,4,11435.38,10787.94,11156.52,66066.75,734424868.07,10993.25
2019,July,5,11709.27,10985.4,10993.25,48172.2,549769169.13,11248.94
2019,July,6,11605.43,11109.42,11248.94,36847.21,418161890.29,11474.28
2019,July,7,12386.28,11339.02,11474.28,63847.27,762033323.29,12296.16
2019,July,8,12808.06,12117.31,12296.16,79607.47,993891866.34,12567.02
2019,July,9,13183.73,11569.94,12567.02,124523.09,1554955347.89,12099.12
2019,July,10,12099.91,11002.39,12099.12,102929.11,1185222449.66,11343.12
2019,July,11,11931.91,11096.61,11343.12,55994.89,647690095.15,11797.37
2019,July,12,11835.87,10827.53,11797.37,59187.84,668325183.28,11363.97
2019,July,13,11447.92,10118.85,11363.97,76310.21,814667763.32,10204.41
2019,July,14,11070.18,9877.02,10204.41,92742.77,965178341.63,10850.26
2019,July,15,11025.76,9366.82,10850.26,113537.84,1140137759.72,9423.44
2019,July,16,9982.24,9086.51,9423.44,101032.08,965256823.84,9696.15
2019,July,17,10776.54,9292.61,9696.15,102443.07,1033842556.65,10638.35
2019,July,18,10757.41,10135.16,10638.35,62995.33,658190962.53,10532.94
2019,July,19,11094.32,10379.19,10532.94,56766.57,608954333.23,10759.42
2019,July,20,10833.99,10329.89,10759.42,38379.41,405339891.1,10586.71
2019,July,21,10676.6,10072.07,10586.71,50574.02,524442852.25,10325.87
2019,July,22,10328.44,9820.61,10325.87,52754.02,529438124.08,9854.15
2019,July,23,9920.54,9535.78,9854.15,54750.78,531611909.42,9772.14
2019,July,24,10184.43,9744.7,9772.14,40285.56,403576364.36,9882.43
2019,July,25,9890.05,9668.52,9882.43,31960.31,312717110.04,9847.45
2019,July,26,10202.95,9310.47,9847.45,53081.42,512612117.07,9478.32
2019,July,27,9591.52,9135.64,9478.32,28313.55,267243770.14,9531.77
2019,July,28,9717.69,9386.9,9531.77,31434.4,299936368.39,9506.93
2019,July,29,9749.53,9391.78,9506.93,28856.19,276402322.56,9595.52
2019,July,30,10123.94,9581.6,9595.52,42030.01,416343142.53,10089.25
2019,July,31,10488.81,9890.49,10089.25,43505.11,442037342.05,10409.79
2019,August,1,10666.64,10340.82,10409.79,44213.09,463688251.79,10528.99
2019,August,2,10915,10509.35,10528.99,34102.93,367536516.75,10820.41
2019,August,3,11074.95,10572.24,10820.41,39795.33,431699306.35,10978.91
2019,August,4,11945.38,10978.89,10978.91,74748.53,870917186.96,11807.96
2019,August,5,12316.85,11224.1,11807.96,80694.71,949534020.01,11467.1
2019,August,6,12138.55,11393.98,11467.1,70893.9,834719365.81,11974.28
2019,August,7,12042.87,11498.04,11974.28,49871.24,588463519.89,11982.8
2019,August,8,12027.57,11674.06,11982.8,39230.82,464214586.73,11865.21
2019,August,9,11971.35,11232.42,11865.21,40869.27,470049694.45,11293.59
2019,August,10,11584.35,11119.32,11293.59,25734.51,292814721.19,11549.06
2019,August,11,11554.74,11240.38,11549.06,20181.72,229908138.9,11387.41
2019,August,12,11439.48,10765.3,11387.41,43742.98,483240069.77,10872
2019,August,13,10873.44,9924.58,10872,70125.86,728247545.72,10031.89
2019,August,14,10451.61,9497.12,10031.89,84438.15,842979140.9,10308.51
2019,August,15,10544.97,9764.32,10308.51,62357.48,635040831.46,10360.43
2019,August,16,10474.64,10010.76,10360.43,24470.79,251018339.59,10220.75
2019,August,17,10512.89,10079.46,10220.75,21614.15,223456175.83,10326.25
2019,August,18,10937.26,10278.31,10326.25,39936.81,426168059.98,10922.16
2019,August,19,10956.06,10576.37,10922.16,30891.56,332208752.04,10770.76
2019,August,20,10805.7,9870.07,10770.76,57446.51,584554031.67,10131.67
2019,August,21,10231.99,9777.06,10131.67,38005.1,380411207.72,10104.11
2019,August,22,10468.14,10053.67,10104.11,31466.97,324471966.33,10410.49
2019,August,23,10430.99,9911.2,10410.49,28068.47,283755017.73,10150.07
2019,August,24,10353.95,9907.03,10150.07,25686.72,259448931.12,10141.75
2019,August,25,10626.93,10141.75,10141.75,42155.28,437989368.7,10364.91
2019,August,26,10381.92,10038.26,10364.91,26481.68,269489962.47,10175.47
2019,August,27,10281.59,9600.83,10175.47,49145.33,486936428.33,9722.83
2019,August,28,9724.52,9344.69,9722.83,42711.51,406305621.25,9492.81
2019,August,29,9699.85,9368.27,9492.81,28941.49,276606372.89,9587.25
2019,August,30,9714.11,9512.03,9587.25,15427.47,148320616.41,9624.54
2019,August,31,9823.53,9578.66,9624.54,15485.86,149995549.7,9768.36
2019,September,1,10459,9764.76,9768.36,42504.5,429220162.8,10387.5
2019,September,2,10773.27,10296.3,10387.5,52101.71,550564712.84,10625.1
2019,September,3,10827.14,10392.88,10625.1,41229.09,436210232.43,10585.2
2019,September,4,10659.6,10475.88,10585.2,23957.29,253210793.56,10556.16
2019,September,5,10938.39,10228.17,10556.16,54409.77,577987384.8,10309.91
2019,September,6,10574.99,10304.22,10309.91,18864.32,197436363.34,10491.96
2019,September,7,10595.71,10286.85,10491.96,18990.22,198370974.82,10420.88
2019,September,8,10514.59,10101.87,10420.88,33044.44,340516851.61,10314.88
2019,September,9,10395.1,9966.94,10314.88,26197.16,266382297.99,10109.46
2019,September,10,10251.97,9874.13,10109.46,28189.47,283998084.25,10165.01
2019,September,11,10472.07,10057.09,10165.01,26821.06,275877681.63,10428.96
2019,September,12,10591.45,9855.34,10428.96,24372.25,251594742.18,10372.29
2019,September,13,10455.38,10251.96,10372.29,15570.76,161565882.04,10365.56
2019,September,14,10401.53,10279.58,10365.56,11651.76,120645589.34,10313.02
2019,September,15,10411.06,10103.87,10313.02,27381.87,280632567.99,10271.79
2019,September,16,10297.99,10152.47,10271.79,21680.68,221966422.11,10198.62
2019,September,17,10272.19,10100.9,10198.62,21739.97,221697128.61,10163.38
2019,September,18,10368.46,9641.11,10163.38,45685.81,456963432.6,10281.03
2019,September,19,10321.18,10065.55,10281.03,20930.03,213229233.56,10176.38
2019,September,20,10187.64,9944.61,10176.38,17868.39,179453539.43,9988.38
2019,September,21,10096.66,9871.97,9988.38,17799.44,178007946.58,10036.98
2019,September,22,10073.79,9636.2,10036.98,33287.92,327752087.22,9694.6
2019,September,23,9787.58,8107.01,9694.6,121811.28,1084866143.86,8542.54
2019,September,24,8752.2,8246.24,8542.54,74724.79,631898763.59,8446.97
2019,September,25,8471.02,7753.71,8446.97,80375.17,652614929.72,8074.99
2019,September,26,8304.22,7888.5,8074.99,48376.65,390323710.89,8201.36
2019,September,27,8345.03,8044.45,8201.36,29802.19,244186983.17,8223.65
2019,September,28,8265.99,7943.33,8223.65,28053.51,226712656.15,8065.26
2019,September,29,8372.24,7736.96,8065.26,50440.1,407250929.38,8314.62
2019,September,30,8537.6,8212.01,8314.62,42368,355446344.41,8326.64
2019,October,1,8403.51,8186.3,8326.64,24785.21,205325219.19,8391.52
